"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC0X002160.hg.1",-1.08147369696969,4.17667064646465,-8.30535792067244,1.51722433518118e-14,1.00942652632059e-12,22.5247233897653,"TC0X002160.hg.1"
"TC10001678.hg.1",-1.41858353333334,5.50304469191919,-8.29700725485,1.59853713332202e-14,1.05952663771869e-12,22.4737190098569,"TC10001678.hg.1"
"TC04002167.hg.1",-1.40153167878788,3.88301220707071,-8.27675487746401,1.81412210733958e-14,1.19011472907822e-12,22.3501231964797,"TC04002167.hg.1"
"TC07001895.hg.1",-1.74267798787879,5.46533870707071,-8.25901995609423,2.02642125711089e-14,1.31713646373485e-12,22.2420100836148,"TC07001895.hg.1"
"TC05003324.hg.1",-1.35480592121212,4.51274455050505,-8.15753523147695,3.80924492168976e-14,2.31985647333616e-12,21.6255201164145,"TC05003324.hg.1"
"TC18000651.hg.1",-1.85100009515151,2.69313646616162,-8.11689119194121,4.89971944685604e-14,2.92337491159584e-12,21.3796682032002,"TC18000651.hg.1"
"TC05001324.hg.1",-1.50533363030303,5.45827758080808,-8.10414561996061,5.30155716212806e-14,3.14186315751897e-12,21.3026966153008,"TC05001324.hg.1"
"TC08000452.hg.1",-1.04695911515151,4.67252128282828,-8.09692381430703,5.54355706415289e-14,3.25790229029378e-12,21.2591101773904,"TC08000452.hg.1"
"TC11003308.hg.1",-2.18278038787879,3.78482676767677,-8.0660935096891,6.70581827319494e-14,3.86367991895855e-12,21.0732549605743,"TC11003308.hg.1"
"TC05002800.hg.1",-1.36337422424242,9.48479775252525,-8.06174285521885,6.88818433183863e-14,3.94298233469363e-12,21.0470563010006,"TC05002800.hg.1"
"TC01005631.hg.1",-1.73868433939394,6.91397129292929,-8.03653216544699,8.04582813553645e-14,4.51237348363803e-12,20.8953827639881,"TC01005631.hg.1"
"TC02002735.hg.1",-1.3215710060606,4.16866355555555,-7.93027991270998,1.54449051434569e-13,8.03260357988209e-12,20.2587889017461,"TC02002735.hg.1"
"TC05002512.hg.1",-2.01368811515151,6.12385169191919,-7.91686607082266,1.67652044448678e-13,8.63852388227129e-12,20.1787295548907,"TC05002512.hg.1"
